PH,NH,DH,MSH,PNH,RI,MPH,CT,NT,MSL,CL,CTR,NTR,MCT,MCL,Kurt,Skew,Area,APN,RPA,Aos,Aso,RSD,VPo,PW90,PW75,PW66,PW50,PW33,PW25,PW10,K,PTT,MWS,PNL,NI,AI,SI,P2ocd,AC,DC,mNPV,Ams,PDA,SFm,AFm,AFe,VFD,Ha,Hb,Hc,Hd,He,Hba,Hca,Hda,Hea,AGI,,
3.272,1.541,1.757,1.757,0.471,0.537,0.537,0.455,0.604,0.346,0.898,0.506,0.672,0.762,0.386,-0.756,0.767,63.599,41.886,0.659,26.208,37.39,0.701,26.208,15.187,24.748,29.449,37.211,45.516,49.768,59.682,0.354,-0.108,0.036,0.149,2.052,0.463,1500,0.443,3.286,0.354,0.903,0.109,0.033,0.316,3.272,-3.271,0.228,0.569,-0.225,0.363,-0.778,0.252,-0.396,0.639,-1.369,0.439,-0.104,,
3.228,1.91,1.931,1.931,0.591,0.599,0.599,0.493,0.649,0.372,0.973,0.506,0.667,0.753,0.382,-1.096,0.53,77.587,44.952,0.58,33.356,44.231,0.757,33.356,18.041,29.581,35.352,45.104,55.97,61.718,74.569,0.399,-0.121,0.033,0.156,2.016,0.401,1363.636364,0.48,3.27,0.399,0.891,0.084,0.026,0.229,3.228,-3.239,0.086,0.34,-0.085,0.169,-0.523,0.228,-0.248,0.529,-1.58,0.711,0.091,,
4.567,1.512,2.648,2.648,0.331,0.58,0.58,0.456,0.579,0.355,0.862,0.53,0.671,0.778,0.412,-0.582,0.929,59.546,50.734,0.851,29.147,30.4,0.96,29.147,14.778,24.029,28.539,35.879,43.464,47.149,54.642,0.345,-0.102,0.05,0.122,2.239,0.42,1647.058824,0.406,4.649,0.345,0.931,0.148,0.032,0.418,4.567,-4.602,0.782,0.739,-0.327,0.578,-1.16,0.055,-0.47,0.856,-1.656,0.146,0.185,,
2.52,0.866,0.967,1.287,0.344,0.382,0.511,0.308,0.445,0.215,0.81,0.375,0.55,0.662,0.256,-0.303,1.008,50.753,28.524,0.565,19.739,31.014,0.64,19.739,12.795,20.799,24.688,31.004,37.52,40.691,47.212,0.323,0.046,0.046,0.137,1.305,0.618,1804.347826,0.502,2.54,0.323,0.887,0.103,0.041,0.635,2.52,-2.505,0.362,0.636,-0.538,0.472,-0.575,0.196,-0.831,0.744,-0.923,0.318,-0.97,,
3.613,1.381,1.978,2.164,0.379,0.545,0.599,0.55,0.643,0.436,0.99,0.555,0.654,0.791,0.439,-0.72,0.835,70.313,41.02,0.58,34.64,35.673,0.973,34.64,17.18,28.024,33.349,42.1,51.278,55.793,65.084,0.356,-0.146,0.033,0.093,2.186,0.455,1095.890411,0.44,3.685,0.356,0.912,0.098,0.027,0.227,3.613,-3.639,0.274,0.356,-0.116,0.308,-0.557,0.041,-0.272,1.423,-1.571,0.375,-0.499,,
2.789,1.774,1.273,1.399,0.636,0.456,0.501,0.242,0.371,0.129,0.8,0.303,0.464,0.533,0.161,-1.201,0.473,64.345,32.719,0.509,22.45,41.895,0.536,22.45,15.431,25.324,30.284,38.7,48.144,53.125,63.702,0.402,0.201,0.058,0.129,0.865,0.544,830.8457711,0.558,2.797,0.402,0.874,0.098,0.035,0.757,2.789,-2.788,0.11,0.509,-0.63,0.152,-0.047,0.166,-1.238,0.299,-0.093,0.326,-1.77,,
1.845,1.051,0.845,0.939,0.57,0.458,0.507,0.25,0.395,0.132,0.782,0.329,0.517,0.529,0.176,-1.081,0.251,71.764,21.585,0.305,24.285,47.479,0.524,24.285,15.363,25.077,29.868,37.844,46.608,51.319,64.288,0.462,0.222,0.037,0.145,1.137,0.542,765.7657658,0.532,1.905,0.462,0.805,0.061,0.033,0.462,1.845,-1.905,0.044,0.305,-0.392,0.168,-0.12,0.019,-1.29,0.553,-0.402,0.06,-1.502,,
2.85,0.516,1.643,1.643,0.181,0.577,0.577,0.47,0.295,0.372,0.895,0.525,0.329,0.792,0.416,-0.278,1.103,53.902,0,0,28.295,25.607,1.105,28.295,14.506,23.535,27.911,34.98,42.182,45.63,52.493,0.301,-0.098,0.03,-0.176,0.491,0.423,1897.959184,0.424,2.859,0.301,0.905,0.094,0.033,0.252,2.85,-2.85,0.603,0.212,-0.225,0.505,-0.782,0.469,-1.065,2.388,-3.701,2.218,-1.969,,
2.973,2.015,1.426,1.506,0.677,0.48,0.507,0.277,0.42,0.146,0.92,0.302,0.457,0.529,0.16,-1.265,0.403,78.641,39.2,0.501,26.918,51.723,0.526,26.918,18.079,29.794,35.744,46.004,57.7,63.742,75.537,0.427,0.25,0.054,0.143,0.841,0.52,688,0.642,3.065,0.427,0.878,0.091,0.031,0.623,2.973,-2.986,0.084,0.42,-0.501,0.095,-0.043,0.139,-1.198,0.23,-0.107,0.335,-1.655,,
3.224,1.567,1.779,1.779,0.486,0.552,0.552,0.448,0.599,0.338,0.865,0.517,0.693,0.754,0.39,-0.954,0.713,61.579,43.361,0.704,26.406,35.174,0.751,26.406,15.918,25.977,30.927,39.093,47.757,52.092,61.268,0.356,-0.11,0.036,0.152,2.258,0.448,1572.727273,0.418,3.246,0.356,0.901,0.102,0.032,0.303,3.224,-3.225,0.182,0.487,-0.139,0.24,-0.699,0.229,-0.285,0.495,-1.436,0.47,0.186,,
2.945,1.019,1.496,1.611,0.347,0.506,0.547,0.396,0.544,0.296,0.803,0.492,0.678,0.742,0.367,-0.696,0.885,53.176,35.953,0.677,23.885,29.291,0.818,23.885,14.154,23.016,27.333,34.362,41.623,45.151,52.33,0.333,-0.069,0.038,0.148,2.149,0.494,1463.768116,0.407,2.998,0.333,0.899,0.104,0.035,0.372,2.945,-2.931,0.383,0.536,-0.203,0.386,-0.759,0.059,-0.378,0.721,-1.417,0.12,0.199,,
3.294,1.139,1.859,1.859,0.345,0.564,0.564,0.414,0.559,0.32,0.832,0.497,0.672,0.772,0.384,-0.387,0.972,57.523,36.929,0.645,25.535,31.989,0.796,25.535,13.408,21.791,25.868,32.496,39.339,42.668,49.498,0.345,-0.094,0.04,0.145,2.046,0.436,1765.957447,0.419,3.324,0.345,0.906,0.118,0.036,0.372,3.294,-3.281,0.541,0.679,-0.289,0.583,-1.004,0.127,-0.428,0.862,-1.48,0.183,0.007,,
3.45,1.029,1.947,1.947,0.3,0.564,0.564,0.467,0.36,0.359,1.082,0.432,0.333,0.768,0.332,-0.733,0.782,77.327,11.355,0.149,30.022,47.304,0.639,30.022,16.106,26.593,31.975,41.604,56.168,65.046,78.729,0.357,-0.108,0.037,-0.107,0.565,0.436,1509.259259,0.616,3.484,0.357,0.907,0.111,0.032,0.311,3.45,-3.435,0.185,0.365,-0.286,0.529,-0.769,0.277,-0.873,1.743,-2.386,0.873,-1.104,,
2.916,0.557,1.662,1.662,0.191,0.57,0.57,0.5,0.306,0.388,1.159,0.431,0.264,0.775,0.334,-0.478,0.926,73.97,0,0,30.726,43.244,0.712,30.726,17.125,28.116,33.643,43.088,54.04,60.345,77.466,0.319,-0.112,0.029,-0.194,0.359,0.43,1535.714286,0.659,2.934,0.319,0.902,0.086,0.03,0.223,2.916,-2.908,0.157,0.141,-0.157,0.42,-0.584,0.224,-1.114,2.997,-4.166,1.603,-1.548,,
3.286,1.875,1.547,1.645,0.57,0.47,0.501,0.231,0.355,0.13,0.826,0.276,0.428,0.546,0.154,-0.991,0.573,61.466,36.82,0.599,20.25,41.216,0.492,20.25,13.682,22.383,26.716,34.045,42.506,47.609,66.971,0.374,0.166,0.074,0.125,0.755,0.53,1084.337349,0.595,3.317,0.374,0.899,0.129,0.039,1.086,3.286,-3.287,0.328,0.763,-0.895,0.419,-0.371,0.415,-1.17,0.55,-0.49,0.544,-1.774,,
3.135,1.472,1.724,1.724,0.47,0.55,0.55,0.443,0.598,0.33,0.863,0.512,0.692,0.746,0.382,-0.987,0.703,60.275,42.798,0.71,25.817,34.458,0.75,25.817,16.186,26.39,31.403,39.648,48.327,52.625,61.566,0.349,-0.113,0.035,0.156,2.253,0.45,1451.327434,0.421,3.141,0.349,0.9,0.098,0.031,0.298,3.135,-3.125,0.188,0.451,-0.103,0.219,-0.661,0.186,-0.228,0.485,-1.464,0.412,0.339,,
3.121,2.251,1.827,1.576,0.721,0.586,0.505,0.269,0.399,0.142,0.871,0.309,0.458,0.527,0.163,-1.349,0.329,74.73,37.8,0.506,25.484,49.246,0.518,25.484,17.596,29.086,34.991,45.362,57.398,63.414,74.26,0.429,0.192,0.058,0.13,0.845,0.414,859.375,0.602,3.141,0.429,0.88,0.098,0.031,0.692,3.121,-3.122,0.085,0.466,-0.547,0.093,-0.072,0.169,-1.174,0.2,-0.155,0.362,-1.582,,
2.875,2.202,1.995,1.416,0.766,0.694,0.493,0.243,0.366,0.122,0.891,0.273,0.411,0.5,0.137,-1.328,0.119,86.33,29.988,0.347,23.894,62.436,0.383,23.894,16.204,27.008,32.82,44.813,66.07,72.739,81.945,0.485,0.186,0.059,0.123,0.698,0.306,930.1075269,0.647,2.905,0.485,0.857,0.098,0.034,0.804,2.875,-2.861,0.062,0.546,-0.561,0.171,-0.179,0.206,-1.028,0.315,-0.328,0.379,-1.394,,
1.864,0.521,0.713,1.036,0.281,0.348,0.553,0.308,0.446,0.219,0.738,0.411,0.602,0.682,0.289,-0.483,0.932,53.145,19.72,0.374,23.314,29.831,0.785,23.314,12.603,20.447,24.256,30.423,36.734,39.774,45.889,0.363,0.065,0.032,0.139,1.612,0.652,1646.153846,0.43,1.974,0.363,0.841,0.074,0.04,0.388,1.864,-1.886,0.266,0.444,-0.427,0.397,-0.458,0.043,-1.092,0.9,-0.917,0.112,-1.187,,
2.458,0.594,1.32,1.32,0.233,0.532,0.532,0.454,0.578,0.354,0.873,0.52,0.662,0.777,0.405,-0.382,1.018,58.818,27.621,0.471,28.122,30.696,0.932,28.122,14.346,23.3,27.645,34.686,41.899,45.375,52.372,0.337,-0.101,0.027,0.124,2.164,0.468,1584.158416,0.418,2.649,0.337,0.886,0.088,0.036,0.251,2.458,-2.504,0.355,0.43,-0.162,0.401,-0.702,0.03,-0.437,1.144,-1.899,0.231,0.087,,
2.61,0.611,1.148,1.451,0.23,0.423,0.555,0.393,0.482,0.303,0.769,0.509,0.635,0.745,0.388,-0.354,1.013,52.309,23.369,0.45,25.429,26.88,0.984,25.429,12.837,20.832,24.704,30.963,37.346,40.407,46.526,0.345,-0.054,0.037,0.09,2.818,0.577,1962.962963,0.376,2.707,0.345,0.883,0.1,0.038,0.428,2.61,-2.613,0.524,0.548,-0.405,0.541,-0.716,0.125,-0.757,1.162,-1.469,0.493,-0.944,,
3.048,1.629,1.172,1.503,0.534,0.384,0.493,0.243,0.396,0.123,0.673,0.36,0.588,0.506,0.182,-1.229,0.199,63.982,31.755,0.496,23.658,40.324,0.587,23.658,14.929,24.221,28.723,36.012,43.499,47.132,54.575,0.475,0.233,0.063,0.153,1.426,0.616,656.6523605,0.431,3.084,0.475,0.866,0.102,0.033,0.831,3.048,-3.048,0.11,0.568,-0.624,0.236,-0.159,0,-1.1,0.416,-0.28,0,-1.236,,
